city,station_name,gasoil10_price,station_location
Casablanca,STADES,‎ 13.97 DH,"ROUTE D'EL JADIDA, CASABLANCA"
Casablanca,OASIS,‎ 13.62 DH,ROUTE EL JADIDA OASIS
Casablanca,STATION PETROM S.D'HONNEUR,‎ 13.89 DH,RTE D'EL JADIDA
Casablanca,DOUMER,‎ 13.97 DH,"ANGLE BD IBN SINA ET BD ROUTE D'AZEMMOUR, CASABLANCA"
Casablanca,VELODROME,‎ 13.99 DH,BOULEVARD MY RACHID
Casablanca,SIDI MAAROUF 2,‎ 13.57 DH,9 CENTRE COMMERCIAL BOUSKOURA SIDI MAÂROUF CASABLANCA
Casablanca,SPORTS CASA SS,‎ 14.59 DH,12 BOULEVARD IBN SINA
Casablanca,MEDMA GESTION S/S FLORIDA,‎ 13.96 DH,LOT FLORIDA-SIDI MAAROUF-CASABLANCA
Casablanca,SIDI MESSAOUD,‎ 9.57 DH,RS 109 PK 10+000 SIDI MESSAOUD CASABLANCA
Casablanca,WINXO GHANDI,‎ 13.92 DH,ANG. BD GHANDI ET IBN SINA
Casablanca,LONGCHAMPS,‎ 13.97 DH,"1, RUE IFRAN - C I L, CASABLANCA"
Casablanca,WINXO HIPPODROME,‎ 13.95 DH,ANGLE AV. MY RACHID ET D'HIERS
Casablanca,ISTIRAHA BOUSKOURA 1,‎ 13.89 DH,ROUTE NATIONALE 11
Casablanca,SIDI MESSOUD BOUSKOURA,‎ 9.67 DH,RN 9 PK 24 COMMUNE EL MAJJATEA OULED TALEB
Casablanca,EXIT CASABLANCA,‎ 13.97 DH,"SORTIE VERS NOUACER, CASABLANCA"
Casablanca,BOUSKOURA 1,‎ 13.62 DH,"SORTIE DE CASABLANCA, ROUTE DE MARRAKECH"
Casablanca,AL MENZAH ,‎ 13.97 DH,"BD ROOSVELT/RAMPE D'ANFA, CASABLANCA"
Casablanca,S/S LHBIB OUED HASSAR,‎ 13.96 DH,COMMUNE RURALE SIDI HAJJAJ OUED HASSAR
Casablanca,ZENATA,‎ 13.62 DH, ENTRÉE VERS MOHAMMEDIA ZENATA
Casablanca,STATION PETROM OUM RABII,‎ 15.1 DH,BOULEVARD OUM RABII EL OULFA
Casablanca,HASSANIA,‎ 13.97 DH,"BD DE LA GRANDE CEINTURE, CASABLANCA"
Casablanca,ALLAYMOUN,‎ 13.62 DH,LOTISSEMENT MEHDI ROUTE EL JADIDA LISSASFA
Casablanca,SIDI MAAROUF,‎ 13.99 DH,"KM 7 CENTRE QUARTIER SIDI MAAROUF, ROUTE DE BOUSKOURA"
Casablanca, ZARHANE,‎ 13.97 DH,"ROUTE NATIONALE N°9, CARREFOUR MEDIOUNA / CASABLANCA / TIT MELLIL"
Casablanca,ROUTE AZEMOUR,‎ 14.18 DH,"COMMUNE RURALE SIDI MOUSSA BEN ALI, PROVINCE MOHAMMEDIA"
Casablanca,JADI,‎ 13.62 DH,ANGLE BOULEVARD ABI RAKRAK ET IBNOU HAITAM QUARTIER HAY HASSANI
Casablanca,S/S SOLACAT CHALLALATE,‎ 13.94 DH,COMMUNE CHALLALATE-MOHAMMEDIA
Casablanca,S/S  REST SPACE,‎ 13.96 DH,COMMUNE URBAINE DE BOUSKOURA –PROVINCE DE NOUACEUR
Casablanca,NASSIM,‎ 13.97 DH,QUARTIER INDUSTRIEL LISSASFA VERS AUTOUROUTE D'ELJADIDA
Casablanca,HAY HASSANI ,‎ 13.62 DH,ANGLE BOULEVARD ABI RAKRAK ET IBNOU HAITAM QUARTIER HAY HASSANI CASABLANCA
Casablanca,MAHATAT ANNOR,‎ 13.94 DH,RT N°1 COMMUNE CHALLALATE-MOHAMMEDIA
Casablanca,S/S LA NOUVELLE VILLE DE ZENATA,‎ 13.94 DH,"COMMUNE AIN HARROUDA,LOTISSEMENT ZS2 - MOHAMMEDIA"
Casablanca,ISTIRAHA PALOMA,‎ 13.88 DH,ROUTE COTIERE CASA MOHAMMEDIA AIN HARROUDA
Casablanca,OUM ERRABII,‎ 13.99 DH,BOULEVARD OUM ERRABII - QUARTIER OULFA
Casablanca,NOUZA,‎ 13.88 DH,"QUARTIER INDUSTRIEL , MUNICIPALITÉ DE MEDIOUNA"
Casablanca,PETROFAN S/S HAY HASSANI,‎ 13.96 DH,ANGLE BD BOUTALEB ET RUE 8 -ANFA-CASABLANCA
Casablanca,SIDI MAAROUF,‎ 13.95 DH,LISSASFA ROUTE D'EL JADIDA
Casablanca,SIDI MAAROUF 1,‎ 13.62 DH,QUARTIER INDUSTRIEL SIDI MAÂROUF
Casablanca,S/S IKHLASS II,‎ 13.62 DH,KM 9 ROUTE DE CASABLANCA VERS EL JADIDA LISSASFA
Casablanca,FABIDIS S/S AL OMRAN,‎ 13.96 DH,DIYAR EL MENZEH -LYSSASFA
Casablanca,OULFA,‎ 13.88 DH,LOT Z.I.SUD-OUEST PHASE 2 N° 57 -MOHAMMEDIA
Casablanca,SIDI MOUSSA,‎ 13.96 DH,RP 106 PK 25+000 SIDI MOUSSA BEN ALI
Casablanca,WINXO OULFA,‎ 13.95 DH,AVENUE SID AL KHADIR OULFA
Casablanca,OUED MELLAH,‎ 13.95 DH,ROUTE COTIÈRE CASA MOHAMMEDIA
Casablanca,S/S AL ARSA AIRE  DE SERVICE,‎ 13.96 DH,PK 28+450 DE LA ROUTE NATIONALE N° 9
Casablanca,LISSASFA,‎ 13.97 DH,ROUTE D'EL JADIDA LISSASFA
Casablanca,WINXO SAMIR,‎ 9.57 DH,ROUTE DE MOHAMMEDIA RS107 + PK6
Casablanca,SOFIA,‎ 13.97 DH,BOUSKOURA
Casablanca,BOUSKOURA 2,‎ 10.15 DH,ROUTE DE BOUSKOURA
Casablanca,S/S BASSARI  BOUSKOURA,‎ 13.96 DH,SISE 0 LA RS N° 107- BOUSKOURA PROPRIETE DITE RAMEL LHLALA  
Casablanca,FEDALA,‎ 13.97 DH,RP 1 PK 338+1 COMMUNE SIDI MOUSSA EL MAJDOUB
Casablanca,BOUSKOURA,‎ 13.97 DH,"KM 17  - BOUSKOURA CENTRE B. P. 22, BOUSKOURA"
Casablanca,BEAUSITE,‎ 13.71 DH,"NOUASSEUR, COMMUNE BOUSKOURA"
Casablanca,ERRAHMA,‎ 14.15 DH,ROUTE AZEMMOUR PRÈS CENTRE ERRAHMA
Casablanca,ISTIRAHA ASWAK ASSALAM,‎ 13.88 DH,AV HASSAN II  ASWAKASSALAM  MOHAMEDIA
Casablanca,BD HASSAN II,‎ 13.6 DH,ANGLE BOULEVARD GRANDE CEINTURE ET HASSAN II MOHAMMEDIA
Casablanca,SOCIETE OULED HADJ LARBI - SARL,‎ 14.69 DH,DOUAR LOUCHACHMA
Casablanca,PETROFAN S/S CENTRE SOUALEM,‎ 13.97 DH,COMMUNE HAD SOUALEM- PROVINCE DE BERRECHID
Casablanca,FADILE GESTION S/S ARRAHMA,‎ 14 DH,COMMUNE ARRAHMA DAR BOUAZZA -PROVINCE NOUACEUR
Casablanca,S/S SAPINO II,‎ 13.97 DH,"SAPINO LOT 1400, LOT 67- NOUACEUR"
Casablanca,SAPINO,‎ 13.98 DH,ZONE INDUSTIELLE SAPINO - RN9 - ROUTE MÉDIOUNA VERS BERRECHID
Casablanca,L ESCALE,‎ 13.95 DH,"BD HASSAN II, MOHAMMEDIA"
Casablanca,STATION EL ALIA,‎ 13.86 DH,QUARTIER EL ALIA
Casablanca,MOHAMEDIA,‎ 13.95 DH,"AVENUE HASSAN II, MOHAMMEDIA"
Casablanca,S/S BS GESTION NOUACEUR,‎ 13.97 DH,"AVENUE HASSAN II, MOHAMMEDIA"
Casablanca,MAYSSANE,‎ 13.98 DH,"COMMUNE OULED SALEH, BOUSKOURA"
